,Character,Left,Top,Right,Bottom
0,T,112,76,124,106
1,r,125,76,132,106
2,e,133,76,143,106
3,e,144,76,154,106
4,s,155,76,164,106
5, ,165,76,171,106
6,g,172,76,182,106
7,r,183,76,190,106
8,o,191,76,201,106
9,w,202,76,216,106
10, ,217,76,223,106
11,a,224,76,234,106
12,l,235,76,240,106
13,m,241,76,257,106
14,o,258,76,268,106
15,s,269,76,278,106
16,t,279,76,287,106
17, ,288,76,294,106
18,e,295,76,305,106
19,v,306,76,317,106
20,e,318,76,328,106
21,r,329,76,336,106
22,y,337,76,348,106
23,w,349,76,363,106
24,h,364,76,374,106
25,e,375,76,385,106
26,r,386,76,393,106
27,e,394,76,404,106
28, ,405,76,411,106
29,e,412,76,422,106
30,x,423,76,434,106
31,c,435,76,444,106
32,e,445,76,455,106
33,p,456,76,467,106
34,t,468,76,476,106
35, ,477,76,483,106
36,i,484,76,488,106
37,n,489,76,499,106
38, ,500,76,506,106
39,p,507,76,518,106
40,e,519,76,529,106
41,r,530,76,537,106
42,m,538,76,554,106
43,a,555,76,565,106
44,n,566,76,576,106
45,e,577,76,587,106
46,n,588,76,598,106
47,t,599,76,607,106
48, ,608,76,614,106
49,i,615,76,619,106
50,c,620,76,629,106
51,e,630,76,640,106
52, ,641,76,647,106
53,a,648,76,658,106
54,n,659,76,669,106
55,d,670,76,680,106
56, ,681,76,687,106
57,s,688,76,697,106
58,n,698,76,708,106
59,o,709,76,719,106
60,w,720,76,734,106
61,",",735,76,740,106
62, ,741,76,747,106
63,o,748,76,758,106
64,n,759,76,769,106
65, ,770,76,776,106
66,t,777,76,785,106
67,h,786,76,796,106
68,e,797,76,807,106
69, ,808,76,814,106
70,t,815,76,823,106
71,o,824,76,834,106
72,p,835,76,846,106
73,s,847,76,856,106
74, ,857,76,863,106
75,o,864,76,874,106
76,f,875,76,882,106
77,h,112,107,122,137
78,i,123,107,127,137
79,g,128,107,138,137
80,h,139,107,149,137
81, ,150,107,156,137
82,m,157,107,173,137
83,o,174,107,184,137
84,u,185,107,195,137
85,n,196,107,206,137
86,t,207,107,215,137
87,a,216,107,226,137
88,i,227,107,231,137
89,n,232,107,242,137
90,s,243,107,252,137
91, ,253,107,259,137
92,a,260,107,270,137
93,n,271,107,281,137
94,d,282,107,292,137
95, ,293,107,299,137
96,i,300,107,304,137
97,n,305,107,315,137
98, ,316,107,322,137
99,d,323,107,333,137
100,e,334,107,344,137
101,s,345,107,354,137
102,e,355,107,365,137
103,r,366,107,373,137
104,t,374,107,382,137
105,s,383,107,392,137
106,.,393,107,397,137
107, ,398,107,404,137
108,I,405,107,409,137
109,f,410,107,417,137
110, ,418,107,424,137
111,a,425,107,435,137
112,n,436,107,446,137
113, ,447,107,453,137
114,e,454,107,464,137
115,m,465,107,481,137
116,p,482,107,493,137
117,t,494,107,502,137
118,y,503,107,514,137
119, ,515,107,521,137
120,p,522,107,533,137
121,i,534,107,538,137
122,e,539,107,549,137
123,c,550,107,559,137
124,e,560,107,570,137
125, ,571,107,577,137
126,o,578,107,588,137
127,f,589,107,596,137
128, ,597,107,603,137
129,l,604,107,609,137
130,a,610,107,620,137
131,n,621,107,631,137
132,d,632,107,642,137
133, ,643,107,649,137
134,i,650,107,654,137
135,s,655,107,664,137
136, ,665,107,671,137
137,l,672,107,677,137
138,e,678,107,688,137
139,f,689,107,696,137
140,t,697,107,705,137
141, ,706,107,712,137
142,t,713,107,721,137
143,o,722,107,732,137
144, ,733,107,739,137
145,i,740,107,744,137
146,t,745,107,753,137
147,s,754,107,763,137
148,e,764,107,774,137
149,l,775,107,780,137
150,f,781,107,788,137
151, ,789,107,795,137
152,f,796,107,803,137
153,o,804,107,814,137
154,r,815,107,822,137
155, ,823,107,829,137
156,l,830,107,835,137
157,o,836,107,846,137
158,n,847,107,857,137
159,g,858,107,868,137
160,e,112,138,122,168
161,n,123,138,133,168
162,o,134,138,144,168
163,u,145,138,155,168
