,Character,Left,Top,Right,Bottom
0,A,112,68,125,90
1,l,126,68,130,90
2,l,131,68,135,90
3, ,136,68,140,90
4,a,141,68,149,90
5,n,150,68,159,90
6,i,160,68,164,90
7,m,165,68,179,90
8,a,180,68,188,90
9,l,189,68,193,90
10,s,194,68,200,90
11, ,201,68,205,90
12,t,206,68,211,90
13,h,212,68,221,90
14,a,222,68,230,90
15,t,231,68,236,90
16, ,237,68,241,90
17,l,242,68,246,90
18,i,247,68,251,90
19,v,252,68,261,90
20,e,262,68,269,90
21, ,270,68,274,90
22,o,275,68,284,90
23,n,285,68,294,90
24, ,295,68,299,90
25,o,300,68,309,90
26,t,310,68,315,90
27,h,316,68,325,90
28,e,326,68,333,90
29,r,334,68,340,90
30, ,341,68,345,90
31,a,346,68,354,90
32,n,355,68,364,90
33,i,365,68,369,90
34,m,370,68,384,90
35,a,385,68,393,90
36,l,394,68,398,90
37,s,399,68,405,90
38, ,406,68,410,90
39,f,411,68,419,90
40,a,420,68,428,90
41,c,429,68,436,90
42,e,437,68,444,90
43, ,445,68,449,90
44,t,450,68,455,90
45,h,456,68,465,90
46,e,466,68,473,90
47, ,474,68,478,90
48,p,478,68,488,90
49,r,490,68,496,90
50,o,497,68,506,90
51,b,506,68,516,90
52,l,518,68,522,90
53,e,523,68,530,90
54,m,531,68,545,90
55, ,546,68,550,90
56,o,551,68,560,90
57,f,561,68,569,90
58, ,570,68,574,90
59,h,575,68,584,90
60,o,585,68,594,90
61,w,595,68,608,90
62, ,609,68,613,90
63,t,614,68,619,90
64,o,620,68,629,90
65, ,630,68,634,90
66,g,635,68,644,90
67,e,645,68,652,90
68,t,653,68,658,90
69, ,659,68,663,90
70,h,664,68,673,90
71,o,674,68,683,90
72,l,684,68,688,90
73,d,689,68,698,90
74, ,699,68,703,90
75,o,704,68,713,90
76,f,714,68,722,90
77,t,112,91,117,113
78,h,118,91,127,113
79,e,128,91,135,113
80,i,136,91,140,113
81,r,141,91,147,113
82, ,148,91,152,113
83,p,152,91,162,113
84,r,164,91,170,113
85,e,171,91,178,113
86,y,179,91,188,113
87,.,189,91,193,113
88, ,194,91,198,113
89,M,199,91,215,113
90,a,216,91,224,113
91,n,225,91,234,113
92,y,235,91,244,113
93, ,245,91,249,113
94,a,250,91,258,113
95,n,259,91,268,113
96,i,269,91,273,113
97,m,274,91,288,113
98,a,289,91,297,113
99,l,298,91,302,113
100,s,303,91,309,113
101, ,310,91,314,113
102,s,315,91,321,113
103,e,322,91,329,113
104,e,330,91,337,113
105,k,338,91,347,113
106, ,348,91,352,113
107,a,353,91,361,113
108,n,362,91,371,113
109,d,372,91,381,113
110, ,382,91,386,113
111,h,387,91,396,113
112,u,397,91,406,113
113,n,407,91,416,113
114,t,417,91,422,113
115, ,423,91,427,113
116,t,428,91,433,113
117,h,434,91,443,113
118,e,444,91,451,113
119,i,452,91,456,113
120,r,457,91,463,113
121, ,464,91,468,113
122,p,468,91,478,113
123,r,480,91,486,113
124,e,487,91,494,113
125,y,495,91,504,113
126,",",505,91,509,113
127, ,510,91,514,113
128,w,515,91,528,113
129,h,529,91,538,113
130,i,539,91,543,113
131,l,544,91,548,113
132,e,549,91,556,113
133, ,557,91,561,113
134,o,562,91,571,113
135,t,572,91,577,113
136,h,578,91,587,113
137,e,588,91,595,113
138,r,596,91,602,113
139,s,603,91,609,113
140, ,610,91,614,113
141,s,615,91,621,113
142,i,622,91,626,113
143,t,627,91,632,113
144, ,633,91,637,113
145,s,638,91,644,113
146,t,645,91,650,113
147,i,651,91,655,113
148,l,656,91,660,113
149,l,661,91,665,113
150, ,666,91,670,113
151,a,671,91,679,113
152,n,680,91,689,113
153,d,690,91,699,113
154, ,700,91,704,113
155,w,705,91,718,113
156,a,719,91,727,113
157,i,728,91,732,113
158,t,733,91,738,113
159,f,112,114,120,136
160,o,121,114,130,136
161,r,131,114,137,136
162, ,138,114,142,136
