Character,Left,Top,Right,Bottom
T,112,72,125,85
h,125,71,136,85
e,136,75,147,86
 ,147,85,154,85
w,154,75,169,85
o,169,74,180,85
r,180,75,188,85
d,188,71,199,85
 ,199,85,206,85
i,206,72,211,86
s,211,74,221,85
l,221,72,227,85
a,227,75,238,86
n,238,75,249,85
d,249,71,260,85
 ,260,85,267,85
d,267,71,278,85
e,278,75,289,86
s,289,74,299,85
c,299,74,309,85
r,309,75,317,85
i,317,72,322,86
b,322,71,333,86
e,333,75,344,86
s,344,74,354,85
 ,354,85,361,85
a,361,75,372,86
r,372,75,380,85
e,380,75,391,86
a,391,75,402,86
s,402,74,412,85
 ,412,85,419,85
t,419,73,428,85
h,428,71,439,85
a,439,75,450,86
t,450,73,459,85
 ,459,85,466,85
a,466,75,477,86
r,477,75,485,85
e,485,75,496,86
 ,496,85,503,85
c,503,74,513,85
u,513,75,524,85
t,524,73,533,85
 ,533,85,540,85
o,540,74,551,85
f,551,71,559,85
f,559,71,567,85
 ,567,85,574,85
f,574,71,582,85
r,582,75,590,85
o,590,74,601,85
m,601,75,618,85
 ,618,85,625,85
l,625,72,631,85
a,631,75,642,86
n,642,75,653,85
d,653,71,664,85
 ,664,85,671,85
a,671,75,682,86
n,682,75,693,85
d,693,71,704,85
 ,704,85,711,85
a,711,75,722,86
r,722,75,730,85
e,730,75,741,86
 ,741,85,748,85
s,748,74,758,85
u,758,75,769,85
r,769,75,777,85
r,777,75,785,85
o,785,74,796,85
u,796,75,807,85
n,807,75,818,85
d,818,71,829,85
e,829,75,840,86
d,840,71,851,85
 ,851,85,858,85
b,858,71,869,86
y,869,75,881,89
t,112,104,121,116
h,121,102,132,116
e,132,106,143,117
 ,143,116,150,116
s,150,105,160,116
e,160,106,171,117
a,171,106,182,117
 ,182,116,189,116
o,189,105,200,116
n,200,106,211,116
 ,211,116,218,116
a,218,106,229,117
l,229,103,235,116
l,235,103,241,116
 ,241,116,248,116
s,248,105,258,116
i,258,103,263,117
d,263,102,274,116
e,274,106,285,117
s,285,105,295,116
.,295,113,300,116
 ,300,116,307,116
I,307,103,312,116
s,312,105,322,116
l,322,103,328,116
a,328,106,339,117
n,339,106,350,116
d,350,102,361,116
s,361,105,371,116
 ,371,116,378,116
c,378,105,388,116
a,388,106,399,117
n,399,106,410,116
 ,410,116,417,116
c,417,105,427,116
o,427,105,438,116
m,438,106,455,116
e,455,106,466,117
 ,466,116,473,116
i,473,103,478,117
n,478,106,489,116
t,489,104,498,116
o,498,105,509,116
