Character,Left,Top,Right,Bottom
T,112,69,124,81
h,124,68,134,81
e,134,72,142,81
 ,142,81,147,81
b,146,68,157,81
e,158,72,166,81
a,166,72,175,81
v,175,72,185,81
e,185,72,193,81
r,193,72,200,81
 ,200,81,205,81
i,205,68,210,81
s,210,72,217,81
 ,217,81,222,81
a,222,72,231,81
n,231,72,241,81
 ,241,81,246,81
e,246,72,254,81
x,254,72,264,81
c,264,72,272,81
e,272,72,280,81
l,280,68,285,81
l,285,68,290,81
e,290,72,298,81
n,298,72,308,81
t,308,69,314,81
 ,314,81,319,81
s,319,72,326,81
w,326,72,340,81
i,340,68,345,81
m,345,72,360,81
m,360,72,375,81
e,375,72,383,81
r,383,72,390,81
.,390,78,395,81
 ,395,81,400,81
I,400,69,406,81
t,406,69,412,81
 ,412,81,417,81
c,417,72,425,81
a,425,72,434,81
n,434,72,444,81
 ,444,81,449,81
a,449,72,458,81
c,458,72,466,81
h,466,68,476,81
i,476,68,481,81
e,481,72,489,81
v,489,72,499,81
e,499,72,507,81
 ,507,81,512,81
a,512,72,521,81
 ,521,81,526,81
s,526,72,533,81
p,532,72,543,85
e,544,72,552,81
e,552,72,560,81
d,560,68,570,81
 ,570,81,575,81
o,575,72,585,81
f,585,68,594,81
 ,594,81,599,81
u,599,72,609,81
p,608,72,619,85
 ,620,81,625,81
t,625,69,631,81
o,631,72,641,81
 ,641,81,646,81
s,646,72,653,81
e,653,72,661,81
v,661,72,671,81
e,671,72,679,81
n,679,72,689,81
 ,689,81,694,81
m,694,72,709,81
i,709,68,714,81
l,714,68,719,81
e,719,72,727,81
s,727,72,734,81
p,111,95,122,108
e,123,95,131,104
r,131,95,138,104
 ,138,104,143,104
h,143,91,153,104
o,153,95,163,104
u,163,95,173,104
r,173,95,180,104
 ,180,104,185,104
i,185,91,190,104
n,190,95,200,104
 ,200,104,205,104
w,205,95,219,104
a,219,95,228,104
t,228,92,234,104
e,234,95,242,104
r,242,95,249,104
.,249,101,254,104
 ,254,104,259,104
I,259,92,265,104
t,265,92,271,104
s,271,95,278,104
 ,278,104,283,104
p,282,95,293,108
r,294,95,301,104
o,301,95,311,104
t,311,92,317,104
e,317,95,325,104
c,325,95,333,104
t,333,92,339,104
i,339,91,344,104
o,344,95,354,104
n,354,95,364,104
 ,364,104,369,104
a,369,95,378,104
g,378,95,388,108
a,388,95,397,104
i,397,91,402,104
n,402,95,412,104
s,412,95,419,104
t,419,92,425,104
 ,425,104,430,104
t,430,92,436,104
h,436,91,446,104
e,446,95,454,104
 ,454,104,459,104
c,459,95,467,104
o,467,95,477,104
l,477,91,482,104
d,482,91,492,104
 ,492,104,497,104
c,497,95,505,104
o,505,95,515,104
n,515,95,525,104
s,525,95,532,104
i,532,91,537,104
s,537,95,544,104
t,544,92,550,104
s,550,95,557,104
 ,557,104,562,104
o,562,95,572,104
f,572,91,581,104
 ,581,104,586,104
a,586,95,595,104
 ,595,104,600,104
s,600,95,607,104
k,607,91,617,104
i,617,91,622,104
n,622,95,632,104
 ,632,104,637,104
w,637,95,651,104
i,651,91,656,104
