Character,Left,Top,Right,Bottom
T,112,69,124,81
h,124,68,134,81
e,134,72,142,81
 ,142,81,147,81
w,147,72,161,81
o,161,72,171,81
r,171,72,178,81
d,178,68,188,81
 ,188,81,193,81
i,193,68,198,81
s,198,72,205,81
l,205,68,210,81
a,210,72,219,81
n,219,72,229,81
d,229,68,239,81
 ,239,81,244,81
d,244,68,254,81
e,254,72,262,81
s,262,72,269,81
c,269,72,277,81
r,277,72,284,81
i,284,68,289,81
b,288,68,299,81
e,300,72,308,81
s,308,72,315,81
 ,315,81,320,81
a,320,72,329,81
r,329,72,336,81
e,336,72,344,81
a,344,72,353,81
s,353,72,360,81
 ,360,81,365,81
t,365,69,371,81
h,371,68,381,81
a,381,72,390,81
t,390,69,396,81
 ,396,81,401,81
a,401,72,410,81
r,410,72,417,81
e,417,72,425,81
 ,425,81,430,81
c,430,72,438,81
u,438,72,448,81
t,448,69,454,81
 ,454,81,459,81
o,459,72,469,81
f,469,68,478,81
f,478,68,487,81
 ,487,81,492,81
f,492,68,501,81
r,501,72,508,81
o,508,72,518,81
m,518,72,533,81
 ,533,81,538,81
l,538,68,543,81
a,543,72,552,81
n,552,72,562,81
d,562,68,572,81
 ,572,81,577,81
a,577,72,586,81
n,586,72,596,81
d,596,68,606,81
 ,606,81,611,81
a,611,72,620,81
r,620,72,627,81
e,627,72,635,81
 ,635,81,640,81
s,640,72,647,81
u,647,72,657,81
r,657,72,664,81
r,664,72,671,81
o,671,72,681,81
u,681,72,691,81
n,691,72,701,81
d,701,68,711,81
e,711,72,719,81
d,719,68,729,81
 ,729,81,734,81
b,733,68,744,81
y,745,72,755,85
t,112,92,118,104
h,118,91,128,104
e,128,95,136,104
 ,136,104,141,104
s,141,95,148,104
e,148,95,156,104
a,156,95,165,104
 ,165,104,170,104
o,170,95,180,104
n,180,95,190,104
 ,190,104,195,104
a,195,95,204,104
l,204,91,209,104
l,209,91,214,104
 ,214,104,219,104
s,219,95,226,104
i,226,91,231,104
d,231,91,241,104
e,241,95,249,104
s,249,95,256,104
.,256,101,261,104
 ,261,104,266,104
I,266,92,272,104
s,272,95,279,104
l,279,91,284,104
a,284,95,293,104
n,293,95,303,104
d,303,91,313,104
s,313,95,320,104
 ,320,104,325,104
c,325,95,333,104
a,333,95,342,104
n,342,95,352,104
 ,352,104,357,104
c,357,95,365,104
o,365,95,375,104
m,375,95,390,104
e,390,95,398,104
 ,398,104,403,104
i,403,91,408,104
n,408,95,418,104
t,418,92,424,104
o,424,95,434,104
 ,434,104,439,104
e,439,95,447,104
x,447,95,457,104
i,457,91,462,104
s,462,95,469,104
t,469,92,475,104
e,475,95,483,104
n,483,95,493,104
c,493,95,501,104
e,501,95,509,104
 ,509,104,514,104
w,514,95,528,104
h,528,91,538,104
e,538,95,546,104
n,546,95,556,104
 ,556,104,561,104
v,561,95,571,104
o,571,95,581,104
l,581,91,586,104
c,586,95,594,104
a,594,95,603,104
n,603,95,613,104
o,613,95,623,104
e,623,95,631,104
s,631,95,638,104
 ,638,104,643,104
r,643,95,650,104
i,650,91,655,104
